Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
52,Travel_Frequently,453,Research & Development,23,2,Life Sciences,1,317,3,Female,56,1,5,Manager,4,Divorced,16694,25910,2,Y,No,24,3,3,80,0,23,3,1,7,5,7,7,No
50,Travel_Rarely,1115,Research & Development,16,1,Technical Degree,1,318,4,Male,57,3,4,Manufacturing Director,4,Divorced,13668,3649,6,Y,No,18,3,3,80,2,6,6,2,6,6,6,6,No
38,Travel_Rarely,832,Research & Development,23,5,Marketing,1,319,3,Female,81,3,2,Manufacturing Director,2,Divorced,6987,15472,6,Y,Yes,20,3,3,80,3,20,1,3,20,3,0,5,No
49,Travel_Rarely,808,Sales,6,2,Medical,1,320,3,Female,45,3,2,Human Resources,4,Married,7351,4862,2,Y,No,11,3,1,80,1,1,4,2,1,1,1,1,No
40,Travel_Rarely,1379,Sales,19,4,Life Sciences,1,321,2,Male,87,4,5,Manager,2,Divorced,15853,2917,1,Y,No,14,3,4,80,3,22,0,2,9,9,7,3,No
50,Travel_Rarely,750,Research & Development,21,4,Other,1,322,2,Male,38,2,2,Research Director,2,Divorced,7704,14444,0,Y,Yes,19,3,1,80,0,32,6,2,0,0,0,0,Yes
20,Travel_Rarely,923,Research & Development,13,5,Medical,1,323,3,Female,55,2,2,Research Director,4,Married,7447,10353,8,Y,Yes,12,3,2,80,1,2,0,3,2,2,2,2,No
35,Travel_Rarely,1046,Sales,17,2,Human Resources,1,324,3,Male,57,1,4,Sales Representative,3,Married,12660,22521,9,Y,No,13,4,1,80,3,0,4,3,0,0,0,0,Yes
42,Travel_Frequently,760,Research & Development,23,4,Medical,1,325,1,Male,65,4,3,Laboratory Technician,1,Single,9963,25731,2,Y,No,21,3,2,80,2,24,3,1,24,10,4,3,Yes
59,Travel_Frequently,198,Sales,9,2,Technical Degree,1,326,4,Male,38,4,1,Sales Executive,4,Divorced,4583,7449,8,Y,No,16,3,4,80,2,22,5,1,22,5,5,5,Yes
48,Travel_Rarely,687,Research & Development,17,2,Life Sciences,1,327,1,Female,76,3,5,Healthcare Representative,4,Divorced,15714,24066,3,Y,No,23,4,4,80,2,19,4,2,19,6,9,6,No
20,Non-Travel,381,Research & Development,29,4,Technical Degree,1,328,2,Male,80,2,5,Research Scientist,3,Married,16079,4811,9,Y,No,21,3,1,80,1,2,0,3,2,2,0,2,No
57,Travel_Rarely,502,Sales,2,1,Technical Degree,1,329,2,Female,86,1,4,Research Scientist,2,Single,14475,5421,5,Y,No,20,3,1,80,1,31,1,2,31,12,1,16,No
41,Non-Travel,1232,Sales,19,4,Marketing,1,330,1,Female,61,4,4,Sales Representative,3,Married,14396,22599,6,Y,No,13,4,3,80,1,16,3,1,16,16,13,16,No
49,Travel_Rarely,799,Research & Development,19,5,Other,1,331,4,Male,96,3,1,Laboratory Technician,3,Married,4715,11290,9,Y,No,14,3,2,80,1,17,4,2,17,8,9,3,No
39,Travel_Rarely,298,Sales,24,3,Medical,1,332,3,Female,86,1,3,Research Director,2,Single,9987,4721,5,Y,No,19,3,3,80,1,3,6,4,3,3,3,3,No
40,Travel_Frequently,1426,Research & Development,7,4,Life Sciences,1,333,1,Male,83,4,5,Human Resources,4,Married,15724,26698,0,Y,Yes,19,3,3,80,3,22,1,2,0,0,0,0,Yes
19,Travel_Rarely,426,Research & Development,22,2,Human Resources,1,334,2,Male,45,1,4,Research Director,3,Divorced,13915,12892,5,Y,No,20,4,4,80,3,1,4,3,1,1,1,1,No
44,Travel_Frequently,253,Research & Development,10,2,Other,1,335,4,Female,91,4,5,Manager,3,Married,16208,21637,5,Y,No,15,4,1,80,2,26,3,2,26,4,10,16,No
59,Travel_Frequently,651,Research & Development,10,4,Other,1,336,2,Female,85,1,2,Healthcare Representative,4,Married,6660,17256,4,Y,No,17,4,4,80,3,22,0,2,22,12,5,6,No
19,Travel_Rarely,504,Research & Development,27,3,Life Sciences,1,337,4,Female,52,4,5,Laboratory Technician,4,Divorced,17284,2788,2,Y,Yes,19,3,1,80,3,1,5,3,1,1,1,1,No
43,Travel_Frequently,561,Sales,20,4,Other,1,338,4,Female,46,4,3,Laboratory Technician,1,Married,11444,18640,9,Y,No,18,3,4,80,2,12,6,4,10,10,3,9,Yes
34,Travel_Rarely,231,Research & Development,9,3,Marketing,1,339,4,Female,67,1,3,Sales Representative,3,Single,9954,6025,2,Y,Yes,21,3,4,80,2,13,5,3,13,13,10,13,No
57,Travel_Rarely,890,Research & Development,17,3,Other,1,340,1,Male,59,4,5,Healthcare Representative,1,Married,16634,24340,9,Y,No,17,3,4,80,0,13,3,1,1,1,1,1,Yes
50,Travel_Rarely,973,Research & Development,27,5,Marketing,1,341,1,Female,87,4,2,Manager,2,Married,8426,8741,6,Y,No,22,4,2,80,2,32,2,4,20,17,5,11,No
26,Travel_Rarely,183,Sales,15,2,Medical,1,342,1,Male,51,4,3,Manager,4,Divorced,10582,5654,7,Y,No,18,3,4,80,3,4,5,4,4,4,4,4,Yes
56,Travel_Rarely,853,Sales,2,2,Medical,1,343,4,Male,46,1,4,Human Resources,4,Divorced,13044,15580,2,Y,Yes,15,3,2,80,1,21,4,3,11,11,7,11,No
46,Travel_Rarely,727,Human Resources,4,3,Technical Degree,1,344,4,Female,44,1,5,Sales Executive,1,Single,17076,9660,2,Y,No,15,3,4,80,2,27,1,2,8,1,1,8,No
59,Travel_Rarely,1232,Sales,19,2,Marketing,1,345,2,Female,77,4,2,Research Director,3,Single,8196,5251,6,Y,No,15,3,1,80,0,3,1,1,3,3,2,3,No
43,Travel_Rarely,320,Human Resources,17,1,Human Resources,1,346,3,Female,61,4,4,Healthcare Representative,2,Single,12528,7268,9,Y,No,11,3,2,80,3,25,6,1,4,4,1,4,No
52,Travel_Rarely,652,Human Resources,5,3,Medical,1,347,1,Female,69,1,5,Manager,3,Married,16266,13781,6,Y,No,16,3,1,80,0,28,5,4,8,8,8,5,No
42,Travel_Rarely,1491,Research & Development,7,2,Other,1,348,4,Female,86,3,2,Manager,3,Divorced,8458,25560,8,Y,No,15,3,1,80,0,24,3,1,9,9,6,5,Yes
41,Travel_Rarely,1270,Research & Development,18,1,Life Sciences,1,349,2,Male,87,4,4,Sales Executive,1,Married,12684,15489,5,Y,No,18,3,1,80,3,23,6,4,9,9,8,3,No
30,Travel_Rarely,211,Research & Development,21,5,Life Sciences,1,350,2,Male,45,3,3,Laboratory Technician,3,Married,11396,17131,6,Y,No,18,4,2,80,0,12,3,4,12,12,0,0,No
24,Non-Travel,714,Research & Development,22,2,Marketing,1,351,2,Male,57,1,5,Manager,1,Divorced,16747,9562,9,Y,No,12,3,3,80,3,6,3,1,6,4,6,6,No
53,Travel_Rarely,1023,Sales,27,1,Human Resources,1,352,1,Female,30,4,5,Human Resources,4,Divorced,15856,17987,0,Y,Yes,21,3,2,80,0,34,1,4,9,5,2,6,No
37,Travel_Rarely,574,Research & Development,7,4,Technical Degree,1,353,1,Female,70,3,3,Manager,4,Single,9991,22810,6,Y,No,16,4,3,80,1,19,0,2,19,4,5,1,No
18,Travel_Rarely,935,Research & Development,17,4,Other,1,354,3,Male,77,1,1,Manager,4,Divorced,4232,22311,1,Y,No,22,3,2,80,2,0,1,4,0,0,0,0,No
25,Travel_Rarely,370,Research & Development,7,1,Marketing,1,355,2,Female,60,3,4,Sales Executive,2,Married,14355,16391,6,Y,No,21,3,4,80,1,7,0,2,7,7,7,5,No
33,Travel_Rarely,520,Research & Development,4,3,Life Sciences,1,356,1,Female,65,2,3,Human Resources,2,Single,11121,23710,2,Y,Yes,20,3,3,80,1,15,6,2,15,7,3,4,No
31,Travel_Rarely,806,Research & Development,8,3,Marketing,1,357,2,Female,62,1,5,Manufacturing Director,3,Married,16077,4152,8,Y,No,20,3,4,80,0,13,6,2,13,13,9,8,No
29,Travel_Frequently,1490,Research & Development,13,2,Other,1,358,4,Male,62,2,4,Research Scientist,1,Single,12613,10738,4,Y,No,16,3,3,80,2,11,6,1,10,10,10,10,Yes
40,Travel_Rarely,1403,Research & Development,4,4,Human Resources,1,359,2,Female,52,1,4,Sales Executive,3,Single,12877,9888,6,Y,No,13,3,2,80,2,21,3,2,21,10,9,16,No
32,Travel_Frequently,1406,Sales,6,3,Human Resources,1,360,3,Male,89,1,1,Laboratory Technician,4,Married,5300,12096,7,Y,No,11,3,2,80,2,14,2,1,14,2,0,12,Yes
45,Travel_Rarely,139,Research & Development,25,3,Medical,1,361,1,Female,59,4,5,Laboratory Technician,3,Married,16808,7474,1,Y,No,17,3,3,80,0,9,1,3,9,7,8,9,No
51,Non-Travel,288,Research & Development,5,4,Other,1,362,4,Female,74,2,2,Healthcare Representative,3,Married,6596,2488,0,Y,Yes,20,3,4,80,1,19,3,2,4,4,4,4,Yes
19,Non-Travel,1287,Research & Development,12,5,Medical,1,363,1,Male,68,2,1,Sales Executive,3,Married,4341,20206,6,Y,No,15,3,1,80,3,1,1,4,1,1,1,1,No
49,Travel_Rarely,1093,Research & Development,4,3,Medical,1,364,4,Female,74,2,1,Sales Representative,4,Single,3623,26144,5,Y,No,22,3,3,80,3,5,3,3,5,5,5,5,Yes
40,Travel_Rarely,635,Research & Development,24,1,Medical,1,365,2,Female,41,1,2,Sales Executive,1,Married,6655,7622,5,Y,Yes,22,3,3,80,3,16,1,3,16,13,11,14,No
39,Travel_Rarely,1127,Sales,29,2,Marketing,1,366,2,Female,61,2,2,Manufacturing Director,3,Married,6609,21505,1,Y,Yes,20,3,4,80,2,5,4,2,5,5,5,5,No
42,Travel_Rarely,389,Research & Development,9,3,Life Sciences,1,367,3,Male,85,2,1,Manager,4,Married,3552,5774,2,Y,No,15,3,1,80,3,21,1,1,19,2,11,12,No
39,Travel_Rarely,532,Sales,4,3,Human Resources,1,368,3,Female,53,4,4,Sales Executive,2,Divorced,13697,8446,3,Y,Yes,21,3,3,80,1,17,4,3,17,13,0,6,No
39,Travel_Rarely,570,Research & Development,19,5,Marketing,1,369,4,Female,42,3,3,Sales Representative,1,Married,11202,21836,2,Y,No,18,3,1,80,3,21,0,2,21,10,8,10,No
59,Travel_Rarely,1304,Human Resources,24,1,Life Sciences,1,370,3,Female,49,3,3,Sales Representative,4,Married,10087,23865,1,Y,No,22,4,1,80,2,27,1,3,27,9,11,7,No
23,Travel_Rarely,1371,Sales,14,2,Human Resources,1,371,3,Female,85,2,1,Laboratory Technician,3,Married,4837,10572,2,Y,No,15,3,2,80,2,5,0,3,5,5,5,5,No
32,Travel_Rarely,727,Sales,5,3,Other,1,372,3,Female,82,2,4,Manufacturing Director,4,Divorced,13225,9833,5,Y,Yes,15,3,4,80,3,14,2,2,6,0,6,6,No
54,Travel_Rarely,378,Research & Development,18,2,Human Resources,1,373,3,Male,97,2,2,Manager,1,Divorced,8217,12258,8,Y,No,11,3,3,80,2,27,5,4,27,15,10,4,No
50,Travel_Frequently,976,Sales,10,4,Human Resources,1,374,2,Male,83,2,1,Sales Representative,3,Single,4913,25501,3,Y,Yes,12,3,3,80,3,14,5,4,1,1,1,1,Yes
25,Non-Travel,680,Research & Development,25,3,Human Resources,1,375,3,Female,63,3,5,Manufacturing Director,2,Married,15544,14416,5,Y,No,15,3,1,80,2,7,4,4,7,7,7,7,No
22,Travel_Frequently,962,Sales,19,3,Technical Degree,1,376,2,Female,57,4,4,Human Resources,2,Single,13435,6887,0,Y,Yes,17,4,3,80,0,4,1,3,4,4,4,4,Yes
56,Travel_Rarely,353,Sales,12,4,Other,1,377,2,Male,79,1,5,Human Resources,2,Divorced,17186,21374,5,Y,No,13,3,1,80,0,33,5,1,0,0,0,0,Yes
21,Travel_Rarely,280,Human Resources,18,5,Marketing,1,378,1,Female,31,2,5,Human Resources,4,Married,16640,21831,2,Y,No,22,4,3,80,1,3,0,1,2,2,2,2,No
23,Travel_Rarely,780,Research & Development,17,3,Marketing,1,379,2,Female,55,2,1,Manager,1,Divorced,3621,18605,8,Y,No,11,3,4,80,0,1,5,3,1,1,0,1,Yes
49,Travel_Rarely,924,Research & Development,24,2,Life Sciences,1,380,2,Female,80,3,4,Research Scientist,2,Single,12981,17684,3,Y,No,21,3,3,80,3,25,5,3,25,5,8,14,No
47,Travel_Rarely,799,Research & Development,11,1,Marketing,1,381,3,Female,76,2,5,Research Scientist,3,Married,16693,26002,6,Y,No,22,4,1,80,2,10,3,2,10,1,10,2,Yes
52,Travel_Rarely,665,Research & Development,3,2,Medical,1,382,2,Female,55,4,4,Manufacturing Director,3,Divorced,13177,24972,3,Y,No,12,3,1,80,1,24,5,1,10,10,7,10,No
57,Travel_Rarely,1449,Research & Development,23,5,Human Resources,1,383,4,Female,90,4,3,Human Resources,3,Divorced,10923,2617,5,Y,No,13,4,3,80,3,18,0,3,18,10,12,5,No
33,Travel_Rarely,1480,Research & Development,17,1,Marketing,1,384,3,Female,52,2,5,Laboratory Technician,4,Single,17365,15636,6,Y,No,22,4,3,80,3,15,5,4,4,4,1,4,No
30,Travel_Rarely,779,Research & Development,1,2,Life Sciences,1,385,3,Female,66,3,5,Manager,1,Married,17466,4570,1,Y,No,19,3,1,80,1,12,1,1,12,10,3,10,Yes
59,Travel_Frequently,490,Research & Development,15,2,Life Sciences,1,386,3,Male,70,2,4,Research Scientist,1,Married,14184,8309,9,Y,Yes,18,3,2,80,1,16,5,3,16,7,3,11,Yes
47,Travel_Rarely,1208,Research & Development,28,4,Medical,1,387,1,Male,81,2,3,Sales Executive,2,Married,9999,21139,5,Y,Yes,14,3,2,80,3,29,2,2,20,17,12,6,No
36,Travel_Rarely,1440,Sales,9,5,Life Sciences,1,388,3,Female,78,3,5,Healthcare Representative,1,Married,15573,4790,7,Y,No,18,3,3,80,2,17,5,2,8,4,6,8,No
34,Non-Travel,311,Research & Development,15,4,Technical Degree,1,389,2,Female,56,4,1,Research Director,3,Married,4470,9826,5,Y,No,23,3,4,80,3,16,4,1,16,11,2,13,No
36,Travel_Rarely,483,Sales,28,1,Human Resources,1,390,4,Female,35,1,4,Research Scientist,3,Married,12648,14134,1,Y,Yes,19,3,3,80,2,18,3,4,18,9,7,3,No
45,Travel_Rarely,441,Research & Development,24,4,Human Resources,1,391,3,Female,95,2,4,Human Resources,4,Single,14060,21693,3,Y,No,13,3,4,80,1,3,6,1,1,1,1,1,No
43,Travel_Frequently,943,Sales,28,5,Human Resources,1,392,3,Male,53,4,5,Research Director,3,Married,16391,25536,0,Y,No,16,3,3,80,3,25,0,3,25,4,6,15,No
54,Travel_Rarely,1161,Research & Development,29,3,Other,1,393,4,Male,67,2,3,Laboratory Technician,1,Single,10584,6054,6,Y,Yes,18,3,1,80,0,18,5,4,18,16,9,3,Yes
43,Travel_Rarely,519,Research & Development,3,3,Marketing,1,394,3,Male,57,1,5,Sales Executive,3,Single,17389,25440,7,Y,Yes,20,3,3,80,3,2,5,3,2,2,2,2,Yes
40,Non-Travel,850,Sales,22,1,Technical Degree,1,395,1,Male,57,3,2,Manufacturing Director,2,Married,7577,18090,9,Y,No,17,3,4,80,2,22,1,4,22,11,11,14,No
26,Travel_Frequently,1292,Sales,27,3,Marketing,1,396,2,Female,95,4,5,Research Director,4,Single,16746,25808,1,Y,No,19,3,4,80,3,8,6,4,0,0,0,0,No
29,Travel_Rarely,1466,Sales,19,4,Technical Degree,1,397,4,Female,90,1,2,Laboratory Technician,4,Married,8254,9681,9,Y,Yes,17,3,3,80,2,11,1,3,10,7,10,10,No
18,Travel_Rarely,405,Research & Development,13,1,Marketing,1,398,4,Female,75,2,1,Research Scientist,1,Married,3972,17569,4,Y,No,11,3,3,80,0,0,4,1,0,0,0,0,Yes
18,Travel_Rarely,801,Research & Development,12,5,Medical,1,399,1,Male,98,1,4,Sales Representative,3,Married,13839,8508,7,Y,No,19,3,2,80,1,0,6,2,0,0,0,0,Yes
51,Travel_Rarely,968,Sales,20,1,Life Sciences,1,400,2,Female,72,4,4,Manufacturing Director,3,Married,12669,18608,7,Y,No,22,4,3,80,0,16,3,4,16,12,2,2,No
49,Travel_Rarely,636,Research & Development,1,1,Life Sciences,1,401,1,Female,88,3,3,Manager,1,Married,10200,25523,4,Y,Yes,15,3,3,80,2,4,0,4,4,2,4,0,Yes
42,Travel_Frequently,1235,Research & Development,21,2,Medical,1,402,2,Male,31,2,5,Healthcare Representative,1,Single,15531,12433,7,Y,No,16,3,1,80,1,18,0,2,18,2,5,13,No
57,Travel_Rarely,305,Research & Development,17,2,Technical Degree,1,403,1,Male,44,3,1,Research Scientist,2,Divorced,3552,14344,5,Y,No,12,3,4,80,1,34,0,1,20,6,7,12,Yes
18,Non-Travel,1308,Research & Development,13,1,Other,1,404,3,Male,66,3,2,Research Scientist,1,Divorced,7439,26520,4,Y,No,12,3,2,80,3,0,4,2,0,0,0,0,Yes
33,Travel_Rarely,595,Research & Development,1,3,Technical Degree,1,405,1,Male,49,1,3,Human Resources,3,Single,9638,13888,3,Y,No,23,3,1,80,0,15,4,1,0,0,0,0,Yes
56,Travel_Rarely,1170,Research & Development,10,2,Life Sciences,1,406,4,Male,64,1,1,Research Scientist,2,Married,4897,21734,4,Y,No,14,3,3,80,2,9,5,4,9,1,0,9,No
22,Travel_Rarely,603,Sales,15,5,Other,1,407,4,Female,63,4,1,Research Director,4,Married,4570,5827,3,Y,No,14,3,4,80,2,1,3,4,1,1,1,1,No
39,Non-Travel,1145,Sales,27,4,Marketing,1,408,4,Female,60,4,2,Research Director,3,Single,6589,19787,0,Y,No,15,3,3,80,1,21,0,3,8,1,0,8,Yes
46,Non-Travel,312,Sales,27,2,Other,1,409,1,Male,48,3,2,Sales Executive,4,Married,7327,22596,2,Y,No,17,4,3,80,3,28,0,1,26,6,2,0,No
20,Travel_Rarely,409,Sales,7,1,Technical Degree,1,410,4,Female,97,4,4,Sales Executive,4,Married,12535,18257,7,Y,No,23,3,3,80,2,2,5,2,2,2,2,2,No
29,Travel_Rarely,760,Research & Development,28,3,Medical,1,411,4,Female,53,3,5,Manufacturing Director,4,Single,16515,18793,6,Y,No,21,3,3,80,3,5,3,1,5,5,1,5,Yes
43,Travel_Rarely,852,Research & Development,22,4,Marketing,1,412,3,Female,68,2,3,Research Scientist,3,Divorced,11479,3916,6,Y,No,22,3,4,80,1,4,6,1,4,4,4,4,No
33,Travel_Rarely,371,Research & Development,18,2,Technical Degree,1,413,3,Female,83,3,5,Sales Executive,4,Married,16428,22451,2,Y,No,11,3,1,80,1,15,3,1,15,7,7,1,No
54,Travel_Rarely,1037,Sales,16,3,Marketing,1,414,2,Male,68,4,3,Human Resources,3,Married,10748,4859,8,Y,Yes,20,3,3,80,1,6,3,1,6,6,6,6,No
39,Travel_Rarely,1325,Sales,14,3,Other,1,415,2,Female,46,4,1,Laboratory Technician,4,Married,4053,9072,5,Y,Yes,14,3,3,80,3,21,1,2,9,6,6,9,No
46,Travel_Rarely,131,Research & Development,27,3,Life Sciences,1,416,2,Female,48,3,2,Sales Executive,1,Single,7239,17523,7,Y,No,23,3,2,80,2,3,3,3,3,3,3,3,No
31,Travel_Frequently,542,Human Resources,28,1,Technical Degree,1,417,1,Female,77,1,2,Research Scientist,1,Married,6768,4051,7,Y,No,19,3,2,80,0,13,2,4,13,3,7,6,Yes
45,Travel_Rarely,261,Sales,18,5,Medical,1,418,2,Male,64,3,1,Research Director,3,Married,4409,22085,2,Y,Yes,18,3,4,80,3,27,4,2,27,17,4,8,No
22,Travel_Rarely,866,Research & Development,27,3,Other,1,419,1,Female,61,3,1,Healthcare Representative,4,Married,3685,10214,3,Y,No,13,3,3,80,1,4,3,2,4,4,2,4,Yes
47,Travel_Rarely,353,Research & Development,7,4,Technical Degree,1,420,1,Male,76,1,3,Sales Representative,4,Married,10894,4968,5,Y,Yes,16,3,3,80,0,29,1,4,17,16,1,2,No
22,Travel_Rarely,620,Research & Development,17,2,Medical,1,421,2,Male,76,2,1,Manager,4,Single,4368,10936,1,Y,No,21,3,3,80,0,4,6,3,4,4,2,3,No
29,Travel_Rarely,1076,Research & Development,29,4,Technical Degree,1,422,2,Male,93,1,3,Sales Executive,1,Single,10758,2601,6,Y,Yes,19,3,4,80,0,5,2,2,5,5,5,4,Yes
33,Travel_Frequently,109,Sales,18,1,Other,1,423,1,Male,75,4,5,Manager,4,Single,16645,26318,1,Y,No,18,3,4,80,0,10,1,4,10,9,10,3,No
43,Travel_Rarely,825,Sales,12,1,Technical Degree,1,424,3,Female,64,1,2,Sales Representative,4,Divorced,6923,17451,4,Y,No,17,3,3,80,0,19,1,3,4,4,2,4,No
43,Travel_Rarely,604,Research & Development,8,4,Marketing,1,425,4,Male,46,4,2,Manufacturing Director,3,Single,7332,15257,3,Y,No,17,3,3,80,1,25,5,3,6,6,6,6,No
38,Travel_Rarely,884,Research & Development,22,5,Other,1,426,4,Male,71,4,2,Research Director,4,Single,7912,7274,8,Y,Yes,11,3,4,80,2,20,1,1,14,11,6,13,No
56,Non-Travel,535,Research & Development,2,1,Technical Degree,1,427,4,Male,58,3,5,Research Director,1,Divorced,16425,20226,1,Y,No,15,4,3,80,0,15,1,2,2,2,0,2,No
53,Travel_Rarely,1234,Research & Development,7,1,Life Sciences,1,428,3,Male,99,3,5,Sales Representative,4,Married,16640,12866,6,Y,No,17,3,1,80,2,6,0,3,6,0,6,5,No
50,Travel_Rarely,252,Sales,4,4,Technical Degree,1,429,1,Male,46,2,4,Research Scientist,1,Married,13989,14368,6,Y,No,24,4,1,80,2,32,4,2,32,6,6,9,No
47,Travel_Rarely,1016,Research & Development,18,1,Marketing,1,430,2,Female,43,4,3,Manager,1,Single,10952,21046,6,Y,No,23,3,4,80,3,29,5,4,25,15,5,12,No
54,Travel_Frequently,968,Sales,28,5,Medical,1,431,1,Male,53,3,3,Manager,2,Married,10368,10674,0,Y,No,12,3,1,80,1,30,5,2,30,15,10,2,No
40,Travel_Rarely,1225,Research & Development,6,5,Medical,1,432,1,Female,86,4,4,Sales Representative,1,Single,13515,22420,7,Y,Yes,16,3,2,80,0,5,0,3,5,5,5,5,Yes
27,Travel_Rarely,852,Research & Development,27,5,Medical,1,433,2,Female,79,2,2,Manager,2,Married,6941,21023,1,Y,Yes,24,3,3,80,2,9,2,4,9,9,9,2,Yes
22,Travel_Rarely,1314,Research & Development,9,2,Life Sciences,1,434,3,Male,86,4,3,Research Scientist,2,Divorced,9538,23910,4,Y,No,12,4,2,80,3,4,0,4,4,4,1,4,Yes
53,Travel_Rarely,662,Research & Development,27,5,Marketing,1,435,4,Female,90,2,3,Research Director,4,Married,10407,17462,1,Y,No,13,3,2,80,2,1,5,1,1,1,1,1,Yes
51,Travel_Rarely,1204,Research & Development,9,5,Other,1,436,4,Female,68,2,2,Manufacturing Director,2,Single,7685,13503,4,Y,No,11,3,2,80,0,21,2,4,21,10,0,0,No
48,Travel_Rarely,588,Research & Development,14,2,Medical,1,437,1,Female,84,2,1,Human Resources,3,Married,5144,17624,6,Y,No,13,3,1,80,1,8,5,3,8,1,8,3,No
27,Travel_Rarely,994,Research & Development,8,3,Marketing,1,438,3,Male,65,3,1,Research Director,1,Married,5049,16370,5,Y,No,17,3,3,80,1,9,3,1,9,6,1,7,No
36,Travel_Rarely,1211,Sales,19,1,Technical Degree,1,439,4,Male,66,1,4,Laboratory Technician,3,Married,12665,7368,4,Y,Yes,15,4,3,80,0,15,2,3,15,8,3,15,No
49,Travel_Rarely,1317,Sales,3,5,Life Sciences,1,440,3,Male,43,1,5,Laboratory Technician,2,Married,17435,25527,3,Y,No,14,3,4,80,2,12,5,3,12,8,8,4,No
18,Non-Travel,203,Sales,18,1,Marketing,1,441,2,Male,56,3,3,Research Director,4,Married,11397,14567,7,Y,No,23,3,2,80,3,0,0,1,0,0,0,0,Yes
22,Non-Travel,1219,Sales,5,4,Marketing,1,442,1,Male,60,4,3,Research Scientist,1,Married,10968,24487,7,Y,No,22,3,1,80,1,4,5,1,2,2,2,2,Yes
21,Travel_Rarely,1321,Research & Development,14,1,Other,1,443,1,Male,73,3,4,Human Resources,3,Divorced,12942,5825,0,Y,No,18,4,2,80,1,3,0,2,3,3,3,3,Yes
33,Travel_Rarely,1124,Research & Development,28,2,Marketing,1,444,3,Male,97,4,4,Manufacturing Director,4,Divorced,12830,12391,9,Y,Yes,18,3,2,80,2,9,2,3,9,9,0,6,Yes
41,Travel_Rarely,1106,Research & Development,4,1,Other,1,445,4,Female,77,2,3,Manager,2,Single,10492,11874,1,Y,Yes,11,4,3,80,2,23,0,2,23,0,13,4,No
33,Travel_Rarely,506,Sales,7,1,Life Sciences,1,446,3,Female,86,3,2,Laboratory Technician,4,Married,7858,24054,2,Y,No,19,3,4,80,2,0,2,4,0,0,0,0,No
19,Travel_Rarely,266,Research & Development,20,1,Life Sciences,1,447,2,Male,51,1,2,Laboratory Technician,3,Single,7635,23180,0,Y,No,24,3,1,80,3,1,1,4,1,1,1,1,No
45,Travel_Rarely,608,Research & Development,25,3,Technical Degree,1,448,4,Female,33,4,5,Laboratory Technician,4,Divorced,17269,5608,2,Y,No,19,3,3,80,2,14,4,2,0,0,0,0,No
49,Non-Travel,412,Research & Development,28,3,Other,1,449,4,Male,75,3,3,Research Scientist,3,Single,10213,8878,9,Y,No,12,3,2,80,3,28,6,1,19,3,1,4,No
44,Travel_Rarely,862,Research & Development,12,4,Other,1,450,3,Male,88,3,3,Research Director,4,Married,10334,3018,7,Y,No,12,3,3,80,0,1,2,4,1,1,1,1,No
37,Travel_Rarely,780,Research & Development,2,2,Medical,1,451,2,Male,63,4,3,Human Resources,1,Divorced,9638,23733,3,Y,No,18,3,2,80,3,10,6,1,9,3,7,9,No
41,Travel_Rarely,576,Sales,11,1,Medical,1,452,4,Female,40,2,3,Research Director,4,Single,11302,23144,6,Y,No,22,3,1,80,2,23,6,2,0,0,0,0,No
29,Travel_Rarely,172,Sales,14,1,Technical Degree,1,453,1,Male,60,2,4,Laboratory Technician,1,Divorced,14307,19695,6,Y,No,21,3,3,80,3,11,1,1,11,4,7,7,No
52,Travel_Frequently,1264,Research & Development,22,1,Life Sciences,1,454,2,Male,40,2,1,Sales Representative,3,Married,4689,11610,4,Y,No,16,4,3,80,3,1,1,3,1,1,1,1,No
50,Travel_Rarely,681,Research & Development,23,1,Human Resources,1,455,4,Male,85,2,3,Research Scientist,1,Married,10937,4500,0,Y,No,13,3,3,80,3,19,1,4,3,3,3,3,No
50,Travel_Rarely,361,Research & Development,16,3,Medical,1,456,3,Male,67,4,1,Manufacturing Director,4,Married,4692,4667,9,Y,No,22,3,3,80,1,30,6,1,30,2,7,11,Yes
54,Travel_Rarely,1463,Sales,20,4,Marketing,1,457,4,Female,50,1,2,Manager,1,Divorced,7268,24418,3,Y,No,12,3,3,80,2,3,1,1,3,3,3,3,No
29,Travel_Rarely,1431,Research & Development,29,5,Life Sciences,1,458,1,Male,39,3,5,Healthcare Representative,3,Single,15623,11578,6,Y,No,15,3,1,80,3,11,2,3,11,10,3,3,No
20,Travel_Rarely,344,Research & Development,6,2,Human Resources,1,459,2,Female,55,3,2,Human Resources,4,Married,8073,7230,4,Y,Yes,18,4,4,80,2,2,6,1,2,1,2,2,No
18,Travel_Rarely,1460,Research & Development,23,1,Marketing,1,460,4,Female,37,2,3,Manufacturing Director,1,Married,10381,12255,1,Y,No,16,3,1,80,0,0,6,2,0,0,0,0,Yes
